SAMPLE;POPULATION;Ploidía;AG01;;;;AG05;;;;AG09;;;;AG10;;;;AG13;;;;AG23;;;;AG25;;;;AG27;;;;AG30;;;;AG35;;;;A2;;;;A22;;;;A35;;;;A37;;;;A38;;;;AG20;;;
T-481;Madres;2x;134;146;;;148;159;;;250;254;;;216;218;;;251;268;;;356;360;;;93;93;;;101;101;;;99;107;;;196;202;;;142;;;;161;;;;228;;;;249;255;;;119;136;;;304;;;
T-482;Madres;4x;132;;;;141;155;157;;246;248;250;;218;;;;251;266;270;272;356;;;;93;105;;;101;103;105;;97;99;103;;184;200;;;142;;;;159;163;167;169;224;228;230;;239;247;;;110;119;122;;302;304;306;
T-483;Madres;4x;132;;;;141;146;157;;244;246;248;;218;;;;262;266;268;;356;358;;;93;99;103;;101;103;105;;97;99;103;;181;186;190;200;142;;;;159;163;;;224;226;230;;239;249;251;265;119;122;148;;302;306;308;318
T-484;Madres;4x;132;;;;146;151;155;;244;248;250;256;216;218;;;262;266;268;272;356;358;;;93;99;;;101;;;;97;105;;;179;184;186;194;140;142;;;159;163;175;;224;226;228;230;239;243;251;;113;122;125;148;304;306;308;
T-485;Madres;4x;132;;;;141;146;;;246;;;;218;222;;;255;270;272;286;356;358;;;93;;;;101;103;;;99;;;;179;181;192;;142;;;;161;177;;;224;226;232;238;239;243;245;249;113;119;122;;302;308;;
T-486;Madres;4x;132;134;;;141;155;;;244;246;262;;216;218;;;255;264;268;272;356;358;;;99;101;113;;101;;;;99;101;109;;179;192;198;;142;;;;159;161;;;218;226;232;;239;243;251;;119;122;125;133;302;304;308;
T-487;Madres;4x;128;132;166;;141;148;155;;244;246;250;;218;;;;262;266;272;;356;358;;;99;105;;;101;;;;97;101;111;113;183;186;198;202;142;;;;159;161;165;;218;222;226;230;239;247;249;;108;119;;;302;306;;
T-488;Madres;4x;132;;;;141;148;155;;246;248;;;216;218;;;268;272;282;;356;358;;;93;99;109;;101;;;;97;99;109;;186;192;194;;142;;;;159;163;167;;224;230;232;238;239;251;;;113;119;122;;302;306;308;
T-489;Madres;2x;134;135;;;151;159;;;250;250;;;216;218;;;251;268;;;358;358;;;93;103;;;101;101;;;99;101;;;181;184;;;142;;;;161;;;;224;228;;;249;255;;;108;110;;;304;306;;
T-490;Madres;4x;126;132;;;148;155;171;;246;;;;218;;;;255;262;268;;356;;;;99;101;111;113;101;;;;97;99;;;183;186;192;194;142;;;;159;165;167;;226;238;;;239;243;251;;113;119;122;;302;306;308;318
T-491;Madres;4x;126;128;132;166;141;144;155;;246;248;250;258;216;218;220;;262;270;272;;356;358;;;93;;;;101;;;;97;107;109;113;188;192;194;;142;;;;161;163;169;;224;226;228;;239;243;265;;119;122;125;;304;306;308;
T-492;Madres;4x;132;166;;;141;146;155;;242;248;;;216;218;;;264;268;272;;356;358;;;93;101;;;101;;;;97;99;;;186;196;;;142;146;;;155;159;173;175;224;228;;;243;245;247;251;119;125;148;;302;318;;
T_628;Madres;4x;132;142;166;;141;155;;;246;248;;;218;;;;262;268;272;280;356;;;;91;93;103;;101;;;;97;105;;;179;192;194;;142;;;;155;159;163;;226;230;232;;239;243;249;;119;122;125;;306;316;318;
T_629;Madres;4x;126;128;132;;141;146;155;;244;248;;;216;218;;;262;272;;;356;358;;;93;103;113;;99;101;103;;97;99;107;109;177;184;192;200;142;;;;159;161;173;;218;226;230;232;239;243;247;;110;119;122;136;302;304;308;
T_630;Madres;4x;126;128;132;;141;144;;;244;248;;;216;218;220;;262;270;272;;356;358;;;93;99;;;101;;;;97;99;101;;179;181;192;196;142;;;;161;163;165;175;218;224;228;230;239;243;;;125;;;;302;304;308;
T_631;Madres;4x;126;132;146;;141;146;155;;244;246;250;256;218;220;;;262;266;272;;356;358;;;93;101;103;;101;;;;97;101;103;;192;;;;142;;;;161;163;175;;218;222;226;232;239;243;247;;119;122;133;;302;306;;
T_632;Madres;4x;126;132;135;166;141;148;157;;244;246;248;250;218;;;;255;262;268;272;356;;;;109;111;113;;101;116;;;97;107;;;183;186;196;;142;;;;163;175;;;210;218;224;226;239;243;251;;119;122;150;;302;306;308;318
