Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Organism ID	Gene ontology (molecular function)	Gene ontology (cellular component)	Gene ontology (biological process)
A0A086MCS3	A0A086MCS3_9RHIZ	unreviewed	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA JH26_25385	Microvirga sp. BSC39	509	1549810	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]	ATP synthesis coupled proton transport [GO:0015986]
A0A0S3PW09	A0A0S3PW09_9BRAD	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL3 groEL groL GJW-30_1_02652	Variibacter gotjawalensis	543	1333996	ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]	protein refolding [GO:0042026]
A0A2T3D680	A0A2T3D680_9RHIZ	unreviewed	Beta-ketoacyl-ACP reductase	C6558_15820	Ensifer sp. NM-2	241	2109730	acetoacetyl-CoA reductase activity [GO:0018454]	cytoplasm [GO:0005737]	poly-hydroxybutyrate biosynthetic process [GO:0042619]
A0A0S3PUX0	A0A0S3PUX0_9BRAD	unreviewed	Apolipoprotein A1/A4/E domain protein	GJW-30_1_02225	Variibacter gotjawalensis	1888	1333996	lipid binding [GO:0008289]	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]	lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]
A0A2T3CZ00	A0A2T3CZ00_9RHIZ	unreviewed	Branched-chain amino acid ABC transporter substrate-binding protein	C6558_30265	Ensifer sp. NM-2	372	2109730			amino acid transport [GO:0006865]
A0A086MDT0	A0A086MDT0_9RHIZ	unreviewed	Single-stranded DNA-binding protein (SSB)	JH26_23350	Microvirga sp. BSC39	166	1549810	single-stranded DNA binding [GO:0003697]		DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]
A0A086ME77	A0A086ME77_9RHIZ	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES JH26_24255	Microvirga sp. BSC39	96	1549810	ATP binding [GO:0005524]	cytoplasm [GO:0005737]	protein folding [GO:0006457]
A0A086MGV6	A0A086MGV6_9RHIZ	unreviewed	Transcription termination/antitermination protein NusA	nusA JH26_19690	Microvirga sp. BSC39	539	1549810	DNA-binding transcription factor activity [GO:0003700]; nucleotide binding [GO:0000166]; translation elongation factor activity [GO:0003746]	cytoplasm [GO:0005737]	DNA-templated transcription, termination [GO:0006353]; transcription antitermination [GO:0031564]
A0A086MIP3	A0A086MIP3_9RHIZ	unreviewed	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk JH26_14955	Microvirga sp. BSC39	772	1549810	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polyphosphate kinase activity [GO:0008976]	polyphosphate kinase complex [GO:0009358]	polyphosphate biosynthetic process [GO:0006799]
A0A086MLQ0	A0A086MLQ0_9RHIZ	unreviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	JH26_08085	Microvirga sp. BSC39	274	1549810	enoyl-[acyl-carrier-protein] reductase (NADH) activity [GO:0004318]; enoyl-[acyl-carrier-protein] reductase activity [GO:0016631]		fatty acid biosynthetic process [GO:0006633]
A0A086MPQ6	A0A086MPQ6_9RHIZ	unreviewed	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG JH26_01390	Microvirga sp. BSC39	516	1549810	ATP binding [GO:0005524]; methionine-tRNA ligase activity [GO:0004825]	cytoplasm [GO:0005737]	methionyl-tRNA aminoacylation [GO:0006431]
A0A0F0DKD0	A0A0F0DKD0_9BURK	unreviewed	Lipoprotein	UB44_18660	Burkholderiaceae bacterium 26	268	1619951	dioxygenase activity [GO:0051213]		
A0A0F0DR36	A0A0F0DR36_9BURK	unreviewed	Oxidoreductase	UB44_11915	Burkholderiaceae bacterium 26	249	1619951	oxidoreductase activity [GO:0016491]		
A0A0F0DSW0	A0A0F0DSW0_9BURK	unreviewed	ABC transporter substrate-binding protein	UB44_12500	Burkholderiaceae bacterium 26	330	1619951	ATPase-coupled transmembrane transporter activity [GO:0042626]	membrane [GO:0016020]	
A0A0F0DVP3	A0A0F0DVP3_9BURK	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groEL groL UB44_09285	Burkholderiaceae bacterium 26	547	1619951	ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]	protein refolding [GO:0042026]
