"LOC","XP","Chr","chr_s","chr_e","AA","mol_wt","XM","exon","Strand","n_isof"
"LOC101493068","XP_004513719.1","Un",371121,379947,241,27.747,"XM_004513662",10,"+",1
"LOC101493118","XP_004485955.1","Ca1",3642963,3651450,247,28.145,"XM_004485898",12,"+",1
"LOC101500959","XP_004498126.1","Ca4",35577362,35573883,243,28.365,"XM_004498069",8,"-",1
"LOC101510444","XP_004492666.1","Ca3",22286491,22292979,248,28.292,"XM_004492609",8,"+",1
"LOC101510775","XP_027188084.1","Ca3",22313652,22297839,204,23.396,"XM_027332283",8,"-",1
