GO_Type	Slim_GO_ID	Slim_GO_Name	Input_Accession	Input_GOID	Input_GO_Name
C	GO:0005575	cellular_component	XM_004485665	GO:0030658	transport vesicle membrane
C	GO:0005575	cellular_component	XM_012712578	GO:0030658	transport vesicle membrane
C	GO:0005575	cellular_component	XM_027334280	GO:0000428	DNA-directed RNA polymerase complex
C	GO:0005575	cellular_component	XM_004507422	GO:0005854	nascent polypeptide-associated complex
C	GO:0005575	cellular_component	XM_004507263	GO:0000151	ubiquitin ligase complex
C	GO:0005575	cellular_component	XM_004485665	GO:0032588	trans-Golgi network membrane
C	GO:0005575	cellular_component	XM_004511267	GO:0032991	protein-containing complex
C	GO:0005575	cellular_component	XM_004489892	GO:0005802	trans-Golgi network
C	GO:0005575	cellular_component	XM_004507326	GO:0000502	proteasome complex
C	GO:0005575	cellular_component	XM_004489892	GO:0000139	Golgi membrane
C	GO:0005575	cellular_component	XM_004501103	GO:0000139	Golgi membrane
C	GO:0005575	cellular_component	XM_004507357	GO:0000139	Golgi membrane
C	GO:0005575	cellular_component	XM_012717897	GO:0031090	organelle membrane
C	GO:0005575	cellular_component	XM_004485693	GO:0005789	endoplasmic reticulum membrane
C	GO:0005575	cellular_component	XM_004485720	GO:0005789	endoplasmic reticulum membrane
C	GO:0005575	cellular_component	XM_004486064	GO:0005789	endoplasmic reticulum membrane
C	GO:0005575	cellular_component	XM_012717772	GO:0005789	endoplasmic reticulum membrane
C	GO:0005575	cellular_component	XM_004507355	GO:0005789	endoplasmic reticulum membrane
C	GO:0005575	cellular_component	XM_004510192	GO:0005789	endoplasmic reticulum membrane
C	GO:0005575	cellular_component	XM_012713103	GO:0005874	microtubule
C	GO:0005575	cellular_component	XM_004489635	GO:0005874	microtubule
C	GO:0005575	cellular_component	XM_004489881	GO:0005874	microtubule
C	GO:0005575	cellular_component	XM_004499314	GO:0005874	microtubule
C	GO:0005575	cellular_component	XM_004507434	GO:0005874	microtubule
C	GO:0005575	cellular_component	XM_012717796	GO:0005874	microtubule
C	GO:0005575	cellular_component	XM_004511231	GO:0005874	microtubule
C	GO:0005575	cellular_component	XM_004489804	GO:0030121	AP-1 adaptor complex
C	GO:0005575	cellular_component	XM_004497619	GO:0005667	transcription regulator complex
C	GO:0005575	cellular_component	XM_027335709	GO:0009506	plasmodesma
C	GO:0005575	cellular_component	XM_027336133	GO:0090575	RNA polymerase II transcription regulator complex
C	GO:0005575	cellular_component	XM_004485827	GO:0005762	mitochondrial large ribosomal subunit
C	GO:0005575	cellular_component	XM_004485707	GO:0030132	clathrin coat of coated pit
C	GO:0005575	cellular_component	XM_004485665	GO:0055038	recycling endosome membrane
C	GO:0005575	cellular_component	XM_004511231	GO:0005815	microtubule organizing center
C	GO:0005575	cellular_component	XM_004489514	GO:0000159	protein phosphatase type 2A complex
C	GO:0005575	cellular_component	XM_004507364	GO:0043229	intracellular organelle
C	GO:0005575	cellular_component	XM_004507449	GO:0070860	RNA polymerase I core factor complex
C	GO:0005575	cellular_component	XM_004485732	GO:0005852	eukaryotic translation initiation factor 3 complex
C	GO:0005575	cellular_component	XM_004496851	GO:0030688	preribosome, small subunit precursor
C	GO:0005575	cellular_component	XM_004507386	GO:0009328	phenylalanine-tRNA ligase complex
C	GO:0005575	cellular_component	XM_004486325	GO:0000932	P-body
C	GO:0005575	cellular_component	XM_004511231	GO:0000922	spindle pole
C	GO:0005575	cellular_component	XM_004485703	GO:0043231	intracellular membrane-bounded organelle
C	GO:0005575	cellular_component	XM_004486228	GO:0043231	intracellular membrane-bounded organelle
C	GO:0005575	cellular_component	XM_004501410	GO:0043231	intracellular membrane-bounded organelle
C	GO:0005575	cellular_component	XM_012717897	GO:0043231	intracellular membrane-bounded organelle
C	GO:0005575	cellular_component	XM_004503502	GO:0008541	proteasome regulatory particle, lid subcomplex
C	GO:0005575	cellular_component	XM_004485707	GO:0030130	clathrin coat of trans-Golgi network vesicle
C	GO:0005575	cellular_component	XM_004485646	GO:1990904	ribonucleoprotein complex
C	GO:0005575	cellular_component	XM_012717995	GO:1990904	ribonucleoprotein complex
C	GO:0005575	cellular_component	XM_004486132	GO:1990904	ribonucleoprotein complex
C	GO:0005575	cellular_component	XM_004496603	GO:1990904	ribonucleoprotein complex
C	GO:0005575	cellular_component	XM_012713291	GO:0005743	mitochondrial inner membrane
C	GO:0005575	cellular_component	XM_004489532	GO:0005743	mitochondrial inner membrane
C	GO:0005575	cellular_component	XM_004485700	GO:0016592	mediator complex
C	GO:0005575	cellular_component	XM_004486056	GO:0016592	mediator complex
C	GO:0005575	cellular_component	XM_004502143	GO:0016592	mediator complex
C	GO:0005575	cellular_component	XM_004507360	GO:0009368	endopeptidase Clp complex
C	GO:0005575	cellular_component	XM_004489652	GO:0005832	chaperonin-containing T-complex
C	GO:0005575	cellular_component	XM_004485722	GO:0000148	1,3-beta-D-glucan synthase complex
C	GO:0005575	cellular_component	XM_027337564	GO:0015934	large ribosomal subunit
C	GO:0005575	cellular_component	XM_004507360	GO:0009532	plastid stroma
C	GO:0005575	cellular_component	XM_004485784	GO:0031515	tRNA (m1A) methyltransferase complex
C	GO:0005575	cellular_component	XM_004485655	GO:0012505	endomembrane system
C	GO:0005575	cellular_component	XM_004496851	GO:0030686	90S preribosome
C	GO:0005575	cellular_component	XM_004485633	GO:0000307	cyclin-dependent protein kinase holoenzyme complex
C	GO:0005575	cellular_component	XM_004486452	GO:0000307	cyclin-dependent protein kinase holoenzyme complex
C	GO:0005575	cellular_component	XM_004485817	GO:0000445	THO complex part of transcription export complex
C	GO:0005575	cellular_component	XM_004485732	GO:0033290	eukaryotic 48S preinitiation complex
C	GO:0005575	cellular_component	XM_004508616	GO:0005694	chromosome
C	GO:0005575	cellular_component	XM_004485824	GO:0022627	cytosolic small ribosomal subunit
C	GO:0005575	cellular_component	XM_004485655	GO:0031201	SNARE complex
C	GO:0005575	cellular_component	XM_004485661	GO:0022625	cytosolic large ribosomal subunit
C	GO:0005575	cellular_component	XM_004486168	GO:0022625	cytosolic large ribosomal subunit
C	GO:0005575	cellular_component	XM_004511223	GO:0055087	Ski complex
C	GO:0005575	cellular_component	XM_027334272	GO:0110165	cellular anatomical entity
C	GO:0005575	cellular_component	XM_004485732	GO:0016282	eukaryotic 43S preinitiation complex
C	GO:0005575	cellular_component	XM_004507422	GO:0042788	polysomal ribosome
C	GO:0005575	cellular_component	XM_012713103	GO:0008352	katanin complex
C	GO:0005575	cellular_component	XM_004485923	GO:0000427	plastid-encoded plastid RNA polymerase complex
C	GO:0005575	cellular_component	XM_004485962	GO:0031461	cullin-RING ubiquitin ligase complex
C	GO:0005575	cellular_component	XM_004489496	GO:0009331	glycerol-3-phosphate dehydrogenase complex
C	GO:0005576	extracellular region	XM_004485734	GO:0005576	extracellular region
C	GO:0005576	extracellular region	XM_012714402	GO:0005576	extracellular region
C	GO:0005576	extracellular region	XM_004486785	GO:0005576	extracellular region
C	GO:0005576	extracellular region	XM_027331699	GO:0005576	extracellular region
C	GO:0005576	extracellular region	XM_027331706	GO:0005576	extracellular region
C	GO:0005576	extracellular region	XM_004490519	GO:0005576	extracellular region
C	GO:0005576	extracellular region	XM_004506007	GO:0048046	apoplast
C	GO:0005622	intracellular anatomical structure	XM_004485665	GO:0030658	transport vesicle membrane
C	GO:0005622	intracellular anatomical structure	XM_012712578	GO:0030658	transport vesicle membrane
C	GO:0005622	intracellular anatomical structure	XM_004485665	GO:0032588	trans-Golgi network membrane
C	GO:0005622	intracellular anatomical structure	XM_004489892	GO:0005802	trans-Golgi network
C	GO:0005622	intracellular anatomical structure	XM_004485693	GO:0005789	endoplasmic reticulum membrane
C	GO:0005622	intracellular anatomical structure	XM_004485720	GO:0005789	endoplasmic reticulum membrane
C	GO:0005622	intracellular anatomical structure	XM_004486064	GO:0005789	endoplasmic reticulum membrane
C	GO:0005622	intracellular anatomical structure	XM_012717772	GO:0005789	endoplasmic reticulum membrane
C	GO:0005622	intracellular anatomical structure	XM_004507355	GO:0005789	endoplasmic reticulum membrane
C	GO:0005622	intracellular anatomical structure	XM_004510192	GO:0005789	endoplasmic reticulum membrane
C	GO:0005622	intracellular anatomical structure	XM_004489804	GO:0030121	AP-1 adaptor complex
C	GO:0005622	intracellular anatomical structure	XM_004485827	GO:0005762	mitochondrial large ribosomal subunit
C	GO:0005622	intracellular anatomical structure	XM_004485665	GO:0055038	recycling endosome membrane
C	GO:0005622	intracellular anatomical structure	XM_004507364	GO:0043229	intracellular organelle
C	GO:0005622	intracellular anatomical structure	XM_004486325	GO:0000932	P-body
C	GO:0005622	intracellular anatomical structure	XM_004511231	GO:0000922	spindle pole
C	GO:0005622	intracellular anatomical structure	XM_004485703	GO:0043231	intracellular membrane-bounded organelle
C	GO:0005622	intracellular anatomical structure	XM_004486228	GO:0043231	intracellular membrane-bounded organelle
C	GO:0005622	intracellular anatomical structure	XM_004501410	GO:0043231	intracellular membrane-bounded organelle
C	GO:0005622	intracellular anatomical structure	XM_012717897	GO:0043231	intracellular membrane-bounded organelle
C	GO:0005622	intracellular anatomical structure	XM_004503502	GO:0008541	proteasome regulatory particle, lid subcomplex
C	GO:0005622	intracellular anatomical structure	XM_004485707	GO:0030130	clathrin coat of trans-Golgi network vesicle
C	GO:0005622	intracellular anatomical structure	XM_012713291	GO:0005743	mitochondrial inner membrane
C	GO:0005622	intracellular anatomical structure	XM_004489532	GO:0005743	mitochondrial inner membrane
C	GO:0005622	intracellular anatomical structure	XM_027337564	GO:0015934	large ribosomal subunit
C	GO:0005622	intracellular anatomical structure	XM_004485784	GO:0031515	tRNA (m1A) methyltransferase complex
C	GO:0005622	intracellular anatomical structure	XM_004508616	GO:0005694	chromosome
C	GO:0005622	intracellular anatomical structure	XM_004485824	GO:0022627	cytosolic small ribosomal subunit
C	GO:0005622	intracellular anatomical structure	XM_004485661	GO:0022625	cytosolic large ribosomal subunit
C	GO:0005622	intracellular anatomical structure	XM_004486168	GO:0022625	cytosolic large ribosomal subunit
C	GO:0005622	intracellular anatomical structure	XM_004507422	GO:0042788	polysomal ribosome
C	GO:0005634	nucleus	XM_027336133	GO:0090575	RNA polymerase II transcription regulator complex
C	GO:0005634	nucleus	XM_004507449	GO:0070860	RNA polymerase I core factor complex
C	GO:0005634	nucleus	XM_004485632	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485633	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_027330155	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485650	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485654	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485697	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485710	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485711	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485743	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485755	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485756	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485778	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485787	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485799	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485802	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485803	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485837	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_027330451	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485882	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485922	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485923	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485936	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485946	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004486229	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_027334280	GO:0005634	nucleus
C	GO:0005634	nucleus	XM_004485992	GO:0005634	nucleus
